id,file_number,author,title,genre,year,source,char_count,word_count,is_original_mk
1,06а,Лужина Јелена,Македонска битова драма,Драма,,НИД „МИКЕНА“ - Битола,90856,18415,True
2,06б,Лужина Јелена,Македонска битова драма,Драма,,НИД „МИКЕНА“ - Битола,47836,10034,True
3,06в,Лужина Јелена,Македонска битова драма,Драма,,НИД „МИКЕНА“ - Битола,84399,18407,True
4,06г,Лужина Јелена,Македонска битова драма,Драма,,НИД „МИКЕНА“ - Битола,104337,23613,True
5,9,Попов Стале,Калеш Анѓа,Проза,1958.0,НИД „МИКЕНА“ - Битола,225217,50301,True
6,10,Абаџиев Ѓорѓи,Пустина,Проза,1961.0,НИД „МИКЕНА“ - Битола,172435,35767,True
7,11,Малевски Владо,Она што беше небо,Проза,1958.0,НИД „МИКЕНА“ - Битола,208006,43159,True
8,12,Јаневски Славко,Тврдоглави,Проза,1969.0,НИД „МИКЕНА“ - Битола,402219,85037,True
9,13,Бошковски Јован,Солунските атентатори,Проза,1962.0,НИД „МИКЕНА“ - Битола,168250,35266,True
10,14,Чашуле Коле,Читано отпосле,Драма,,НИД „МИКЕНА“ - Битола,457212,92854,True
11,15,Конески Блаже,Послание,Поезија,,НИД „МИКЕНА“ - Битола,183160,39880,True
12,16,Шопов Ацо,Раѓањето на зборот,Поезија,,НИД „МИКЕНА“ - Битола,78852,17203,True
13,17,Јованоски Мето,Будалетинки,Проза,1973.0,НИД „МИКЕНА“ - Битола,140085,30804,True
14,18,Иваноски Србо,Посегање по чудесното,Поезија,,НИД „МИКЕНА“ - Битола,101398,20986,True
15,19,Матевски Матеја,Прогонети од рајот,Поезија,,НИД „МИКЕНА“ - Битола,94064,20306,True
16,20,Тодоровски Гане,Живеј песно!,Поезија,,НИД „МИКЕНА“ - Битола,100162,20921,True
17,21,Дракул Симон,Белата долина,Проза,1962.0,НИД „МИКЕНА“ - Битола,430804,91928,True
18,22,Солев Димитар,Кратката прослет на Моно Самоников,Проза,1964.0,НИД „МИКЕНА“ - Битола,217752,46778,True
19,23,Попоски Анте,Провиденија,Поезија,,НИД „МИКЕНА“ - Битола,96190,20660,True
20,24,Стрезовски Јован,Вода. Зарек,Проза,1972.0,НИД „МИКЕНА“ - Битола,316171,69685,True
21,25,Иванов Благоја,Избор,Проза,,НИД „МИКЕНА“ - Битола,397488,84563,True
22,26,Ташковски Љубен,Од премудрата тишина,Поезија,,НИД „МИКЕНА“ - Битола,79823,18008,True
23,27,Костов Владимир,Свадбата на Мара,Проза,1968.0,НИД „МИКЕНА“ - Битола,427235,92973,True
24,28,Фотев Методија,Големите скитачи,Проза,1970.0,НИД „МИКЕНА“ - Битола,361648,78754,True
25,29,Ширилов Петар,Црноборје,Проза,1972.0,НИД „МИКЕНА“ - Битола,253484,55774,True
26,30,Андреевски Петре,Пиреј; Дениција,Проза,1980.0,НИД „МИКЕНА“ - Битола,378293,87264,True
27,31,Котески Јован,Сончева белегија,Поезија,,НИД „МИКЕНА“ - Битола,89603,19845,True
28,32,Варошлија Бранко,Последниот лет на птицата селица,Проза,1968.0,НИД „МИКЕНА“ - Битола,123224,25383,True
29,33,Неделковски Миле,Потковица на смртта и надежта,Поезија,,НИД „МИКЕНА“ - Битола,407964,84969,True
30,34,Чинго Живко,Пасквелија,Проза,1963.0,НИД „МИКЕНА“ - Битола,196588,41374,True
31,35,Мицковиќ Слободан,Александар и смртта,Проза,1992.0,НИД „МИКЕНА“ - Битола,416387,89093,True
32,36,Ѓорѓиевски Ташко,Црвениот коњ,Проза,1975.0,НИД „МИКЕНА“ - Битола,193046,44109,True
33,37,Бошковски Т. Петар,Некој ме уми,Поезија,,НИД „МИКЕНА“ - Битола,96468,21495,True
34,38,Ренџов Михаил,Храм. Молитви,Поезија,,НИД „МИКЕНА“ - Битола,46579,10042,True
35,39,Николова Оливера,Вежби за ИБН Пајко,Проза,2000.0,НИД „МИКЕНА“ - Битола,225006,48527,True
36,40,Павлоски Радован,Заштитна повелба,Поезија,,НИД „МИКЕНА“ - Битола,80607,17957,True
37,41,Павлоски Јован,"Само понатаму, во височините",Поезија,,НИД „МИКЕНА“ - Битола,99305,18884,True
38,42,Чаповски Иван,Црни соколи - бели меглени,Поезија,,НИД „МИКЕНА“ - Битола,114476,24816,True
39,43,Урошевиќ Влада,Непредвидени прошетки,Поезија,,НИД „МИКЕНА“ - Битола,317860,61980,True
40,44,Ѓузел Богомил,Оствор на копно,Поезија,,НИД „МИКЕНА“ - Битола,150209,32854,True
41,45,Петровски Трајан,Босфорско завештание,Поезија,,НИД „МИКЕНА“ - Битола,67043,13658,True
42,46,Гилевски Паскал,Зоја,Проза,1986.0,НИД „МИКЕНА“ - Битола,305631,63516,True
43,47,Ширилов Ташко,Тимотеј и Лидија,Проза,1999.0,НИД „МИКЕНА“ - Битола,167927,34809,True
44,48,Дабески Петко,Поезија,Поезија,,НИД „МИКЕНА“ - Битола,16165,3226,True
45,49,Јакимовски Чедо,Не будете ме ноќва,Поезија,,НИД „МИКЕНА“ - Битола,45424,10290,True
46,50,Михаилова Гордана,Бесконечното,Поезија,,НИД „МИКЕНА“ - Битола,122743,26542,True
