word,count,freq_per_million
и,174751,38450.78
на,141030,31031.09
се,128351,28241.31
да,124767,27452.71
во,97170,21380.49
од,78048,17173.04
не,70714,15559.33
го,67437,14838.29
со,64884,14276.55
што,61130,13450.55
за,47888,10536.88
е,43523,9576.45
ќе,40250,8856.28
ја,40104,8824.16
како,38471,8464.84
ги,34843,7666.57
му,31147,6853.33
а,30597,6732.31
дека,24412,5371.42
по,24114,5305.85
тоа,23004,5061.61
си,20945,4608.57
тој,20766,4569.18
ми,20460,4501.85
беше,20171,4438.26
кога,18494,4069.27
ти,17528,3856.72
но,16188,3561.88
само,15464,3402.57
јас,13944,3068.12
таа,12913,2841.27
до,12775,2810.91
ме,12382,2724.43
пред,11803,2597.04
ни,11519,2534.55
сите,10712,2356.98
уште,10643,2341.8
него,10481,2306.15
рече,10481,2306.15
кој,10119,2226.5
сега,9934,2185.8
така,9622,2117.15
им,9384,2064.78
кон,9101,2002.51
еден,8902,1958.72
или,8592,1890.51
тие,8125,1787.76
мене,8038,1768.62
низ,7672,1688.08
ако,7563,1664.1
нешто,7402,1628.68
веќе,7398,1627.8
сум,7366,1620.75
па,7337,1614.37
една,7153,1573.89
пак,7038,1548.58
кај,7021,1544.84
нема,6860,1509.42
под,6800,1496.22
без,6701,1474.43
многу,6578,1447.37
в,6490,1428.01
те,6319,1390.38
која,6218,1368.16
има,6207,1365.74
нив,6132,1349.24
време,6044,1329.87
може,5932,1305.23
каде,5862,1289.83
некој,5787,1273.32
кои,5765,1268.48
ли,5673,1248.24
ништо,5610,1234.38
потоа,5435,1195.87
себе,5427,1194.11
неа,5172,1138.0
над,5060,1113.36
толку,4946,1088.28
меѓу,4839,1064.73
беа,4836,1064.07
тогаш,4783,1052.41
дури,4660,1025.35
биде,4624,1017.43
повеќе,4586,1009.07
колку,4466,982.66
треба,4447,978.48
ама,4374,962.42
додека,4328,952.3
едно,4264,938.22
вели,4182,920.17
ден,4152,913.57
би,4142,911.37
таму,3958,870.89
зошто,3930,864.73
знам,3921,862.74
малку,3895,857.02
дали,3881,853.94
тебе,3805,837.22
тука,3758,826.88
ова,3735,821.82
врз,3715,817.42
татко,3674,808.4
својата,3622,796.96
очи,3596,791.23
овој,3589,789.69
мајка,3541,779.13
човек,3503,770.77
затоа,3500,770.11
зашто,3489,767.69
зад,3457,760.65
туку,3447,758.45
ние,3445,758.01
нас,3413,750.97
имаше,3411,750.53
крај,3368,741.07
очите,3301,726.33
години,3299,725.89
она,3277,721.04
околу,3275,720.6
можеби,3250,715.1
својот,3108,683.86
рака,3052,671.54
неговата,2987,657.24
своите,2979,655.47
секој,2975,654.59
вода,2963,651.95
можеше,2947,648.43
дојде,2925,643.59
мојата,2919,642.27
некоја,2878,633.25
место,2874,632.37
главата,2869,631.27
никој,2830,622.69
земја,2798,615.65
луѓето,2784,612.57
добро,2762,607.73
овде,2735,601.79
живот,2718,598.05
знае,2706,595.41
пат,2680,589.69
оној,2666,586.6
луѓе,2657,584.62
животот,2654,583.96
сме,2643,581.54
дома,2642,581.32
оти,2608,573.84
кое,2591,570.1
веднаш,2582,568.12
оваа,2574,566.36
гледа,2545,559.98
никогаш,2542,559.32
преку,2525,555.58
светот,2478,545.24
две,2467,542.82
ниту,2461,541.5
неколку,2459,541.06
почна,2441,537.1
некои,2422,532.92
ви,2404,528.96
времето,2385,524.78
земјата,2352,517.51
глас,2313,508.93
раце,2300,506.07
неговиот,2295,504.97
оние,2289,503.65
секогаш,2283,502.33
небото,2272,499.91
еднаш,2259,497.05
сепак,2254,495.95
миг,2240,492.87
друго,2232,491.11
мојот,2226,489.79
о,2220,488.47
жена,2211,486.49
три,2185,480.77
рацете,2174,478.35
друг,2165,476.37
сам,2161,475.49
велам,2147,472.41
врати,2137,470.21
реков,2130,468.67
неговите,2124,467.35
нека,2119,466.25
сака,2116,465.59
оди,2089,459.65
сето,2083,458.33
работа,2045,449.97
бил,2045,449.97
други,2038,448.42
другите,2022,444.9
глава,2020,444.46
било,2017,443.8
та,1975,434.56
вие,1973,434.12
знаеш,1972,433.9
сонцето,1968,433.02
немаше,1962,431.7
праша,1958,430.82
долго,1946,428.18
страна,1943,427.52
сакаше,1942,427.3
збор,1929,424.44
иако,1923,423.12
исто,1921,422.68
ноќ,1918,422.02
знаеше,1880,413.66
токму,1876,412.78
два,1875,412.56
дедо,1870,411.46
сакам,1869,411.24
лицето,1850,407.06
деца,1850,407.06
навистина,1849,406.84
еве,1849,406.84
лице,1839,404.64
куќа,1839,404.64
откако,1823,401.12
неговото,1817,399.8
своето,1798,395.62
бев,1791,394.08
куќата,1774,390.34
покрај,1770,389.46
свет,1749,384.84
вратата,1745,383.96
патот,1736,381.98
самиот,1724,379.33
гледаше,1715,377.35
ко,1708,375.81
човекот,1705,375.15
овие,1701,374.27
раката,1700,374.05
моите,1699,373.83
сосема,1695,372.95
виде,1691,372.07
зборови,1683,370.31
душата,1681,369.87
некаде,1680,369.65
значи,1647,362.39
илија,1645,361.95
градот,1645,361.95
децата,1639,360.63
работи,1635,359.75
види,1632,359.09
заедно,1623,357.11
водата,1601,352.27
ноќта,1570,345.45
стана,1565,344.35
можам,1562,343.69
сте,1553,341.71
гледам,1553,341.71
сон,1551,341.27
ве,1537,338.19
тело,1532,337.09
нашите,1525,335.55
дете,1518,334.01
некое,1505,331.15
душа,1493,328.51
година,1492,328.29
надвор,1492,328.29
поглед,1489,327.63
срцето,1483,326.31
нивните,1473,324.11
требаше,1457,320.59
крајот,1445,317.95
голема,1430,314.65
гласот,1425,313.55
цел,1411,310.46
поради,1404,308.92
моето,1402,308.48
најде,1397,307.38
прави,1395,306.94
при,1393,306.5
мисли,1387,305.18
убаво,1384,304.52
смртта,1383,304.3
сонот,1377,302.98
постојано,1377,302.98
секоја,1367,300.78
срце,1357,298.58
љубов,1347,296.38
песна,1342,295.28
ce,1339,294.62
полека,1330,292.64
дел,1330,292.64
страв,1325,291.54
кого,1311,288.46
камен,1311,288.46
право,1310,288.24
остана,1310,288.24
излезе,1305,287.14
нејзината,1302,286.48
сигурно,1298,285.6
ете,1294,284.72
друга,1287,283.18
онаа,1279,281.42
сета,1274,280.32
нозете,1273,280.1
небаре,1271,279.66
баба,1268,279.0
сонце,1268,279.0
небо,1236,271.96
сила,1235,271.74
ајде,1234,271.52
имам,1233,271.3
штом,1232,271.08
направи,1232,271.08
жената,1221,268.66
крв,1208,265.8
одговори,1208,265.8
себеси,1205,265.14
тешко,1203,264.7
селото,1201,264.26
нашата,1191,262.06
бара,1191,262.06
сакаш,1188,261.4
случи,1188,261.4
речиси,1183,260.3
твојата,1183,260.3
првиот,1176,258.76
море,1172,257.88
реката,1171,257.66
видов,1164,256.12
фати,1164,256.12
моно,1160,255.24
повторно,1157,254.58
биле,1153,253.7
далеку,1152,253.48
мислам,1152,253.48
стори,1139,250.62
продолжи,1138,250.4
моја,1137,250.18
денот,1135,249.74
голем,1133,249.3
мора,1132,249.08
име,1129,248.42
барем,1127,247.98
освен,1122,246.88
назад,1121,246.66
прозорецот,1120,246.44
телото,1120,246.44
долу,1111,244.46
влезе,1111,244.46
доаѓа,1099,241.81
наеднаш,1097,241.37
отвори,1095,240.93
даде,1090,239.83
сандар,1089,239.61
син,1084,238.51
мој,1083,238.29
некако,1075,236.53
сиот,1073,236.09
час,1067,234.77
око,1061,233.45
светлина,1061,233.45
своја,1060,233.23
нејзините,1058,232.79
денес,1058,232.79
дворот,1058,232.79
господ,1051,231.25
македонија,1050,231.03
стариот,1044,229.71
александар,1043,229.49
нејзиниот,1040,228.83
град,1039,228.61
сенка,1037,228.17
село,1036,227.95
горе,1034,227.51
пари,1033,227.29
погледот,1030,226.63
всушност,1027,225.97
остави,1024,225.31
кажам,1020,224.43
ред,1017,223.77
била,1013,222.89
бидејќи,1013,222.89
каква,1010,222.23
другата,1007,221.57
брзо,1006,221.35
нозе,1003,220.69
снегот,1002,220.47
одеднаш,1001,220.25
според,999,219.81
вас,990,217.83
твојот,990,217.83
таков,989,217.61
стои,988,217.39
вака,986,216.95
стоеше,984,216.51
каже,980,215.63
води,979,215.41
бела,976,214.75
носи,974,214.31
после,973,214.09
дена,973,214.09
чека,969,213.21
лесно,968,212.99
станува,958,210.79
сосем,956,210.35
мара,954,209.91
твоите,949,208.81
некаква,947,208.37
одвај,947,208.37
воопшто,945,207.93
нашиот,943,207.49
јасно,941,207.05
одам,938,206.39
можат,934,205.51
сакав,930,204.63
утре,929,204.41
собата,927,203.97
двајцата,926,203.75
игра,925,203.53
устата,924,203.31
најпосле,917,201.77
с,917,201.77
зборува,917,201.77
видам,915,201.33
нивната,913,200.89
одамна,913,200.89
пауза,912,200.67
прво,911,200.45
црна,910,200.23
некогаш,907,199.57
знаев,906,199.35
разбира,898,197.59
бог,895,196.93
јазик,895,196.93
начин,895,196.93
жив,891,196.05
уста,891,196.05
нели,891,196.05
подоцна,891,196.05
вика,889,195.61
мислеше,887,195.17
двете,886,194.95
можеш,886,194.95
жени,885,194.73
прв,884,194.51
брат,879,193.41
понекогаш,875,192.53
коњот,875,192.53
таква,869,191.21
врата,867,190.77
денови,860,189.23
градите,859,189.01
такви,856,188.35
нови,856,188.35
вечер,854,187.91
зборовите,852,187.47
смрт,850,187.03
чини,850,187.03
соба,848,186.59
работата,848,186.59
зар,848,186.59
оган,842,185.27
мисла,842,185.27
ѕидот,838,184.39
целата,837,184.17
цела,836,183.95
можел,831,182.85
крвта,829,182.41
нова,829,182.41
вистина,829,182.41
внатре,827,181.97
помисли,822,180.87
длабоко,820,180.43
зборот,818,179.99
постои,818,179.99
против,816,179.55
морето,816,179.55
заради,815,179.33
големи,812,178.67
знак,810,178.23
огнот,809,178.01
бели,806,177.35
можев,805,177.13
секое,805,177.13
другиот,804,176.91
велеше,803,176.69
нему,802,176.47
живее,800,176.03
птица,800,176.03
местото,798,175.59
деви,798,175.59
името,797,175.37
нејзиното,796,175.15
имаш,796,175.15
бидат,794,174.71
слуша,794,174.71
имаат,792,174.27
тивко,787,173.17
снег,787,173.17
донесе,783,172.28
сама,782,172.06
марта,782,172.06
првата,781,171.84
почнаа,781,171.84
воздухот,777,170.96
чекори,776,170.74
напред,775,170.52
жените,773,170.08
дрво,773,170.08
силно,770,169.42
сами,768,168.98
радост,768,168.98
целиот,768,168.98
големата,768,168.98
првпат,767,168.76
каков,766,168.54
сети,766,168.54
тргна,763,167.88
зеде,762,167.66
андреја,762,167.66
свој,761,167.44
гледаш,760,167.22
двајца,759,167.0
борис,757,166.56
среде,756,166.34
скопје,755,166.12
сврте,753,165.68
љубовта,751,165.24
писмо,750,165.02
песната,749,164.8
светлината,749,164.8
остане,748,164.58
излегува,746,164.14
зарем,746,164.14
среќа,745,163.92
марија,742,163.26
особено,742,163.26
страни,741,163.04
коњ,732,161.06
леб,724,159.3
отиде,724,159.3
рекол,722,158.86
бре,721,158.64
одново,721,158.64
чинеше,718,157.98
паѓа,714,157.1
твоето,710,156.22
чувствуваше,710,156.22
мракот,707,155.56
четири,704,154.9
порано,703,154.68
ветрот,703,154.68
книга,702,154.46
детето,700,154.02
држи,697,153.36
молам,697,153.36
арсо,696,153.14
у,695,152.92
мислите,692,152.26
самата,692,152.26
планината,691,152.04
бидам,688,151.38
нов,686,150.94
често,686,150.94
пет,685,150.72
свети,685,150.72
солзи,682,150.06
негова,682,150.06
чекор,682,150.06
знаат,681,149.84
доста,680,149.62
враќа,680,149.62
мате,679,149.4
насмевка,675,148.52
бога,674,148.3
прстите,674,148.3
книги,673,148.08
големиот,671,147.64
немам,669,147.2
којзнае,669,147.2
река,667,146.76
мислев,666,146.54
црни,664,146.1
одеше,664,146.1
давид,664,146.1
стане,663,145.88
погледна,663,145.88
народ,662,145.66
поп,661,145.44
бојан,661,145.44
нивниот,659,145.0
потем,659,145.0
слика,658,144.78
војводата,657,144.56
де,656,144.34
чувство,656,144.34
места,656,144.34
никола,655,144.12
чичко,655,144.12
едната,654,143.9
крена,653,143.68
утро,651,143.24
какви,651,143.24
болка,651,143.24
гледајќи,649,142.8
врти,649,142.8
тишина,648,142.58
влегува,647,142.36
смее,646,142.14
свои,646,142.14
почувствува,645,141.92
стави,645,141.92
точно,645,141.92
коса,644,141.7
заврши,644,141.7
чудно,643,141.48
езерото,643,141.48
случува,641,141.04
старецот,641,141.04
јазикот,640,140.82
кажи,639,140.6
истиот,638,140.38
почнува,637,140.16
ами,633,139.28
ноќе,633,139.28
умот,632,139.06
желба,632,139.06
прсти,631,138.84
некаков,630,138.62
мое,630,138.62
косата,630,138.62
падна,629,138.4
маж,626,137.74
вино,626,137.74
девојката,626,137.74
вистински,626,137.74
видел,625,137.52
брегот,624,137.3
полето,623,137.08
дава,620,136.42
мала,619,136.2
зборуваше,617,135.76
куќи,616,135.54
мислиш,615,135.32
наоколу,613,134.88
подобро,610,134.22
скоро,609,134.0
каменот,609,134.0
гледаат,608,133.78
сенката,608,133.78
нешта,608,133.78
вратот,606,133.34
изгледа,605,133.12
бевме,604,132.9
масата,602,132.46
сред,601,132.24
другар,601,132.24
планина,601,132.24
сестра,598,131.58
умре,596,131.14
улицата,595,130.92
стари,595,130.92
ах,594,130.7
полни,593,130.48
најмногу,591,130.04
мои,591,130.04
живи,590,129.82
натаму,589,129.6
лошо,589,129.6
онака,589,129.6
високо,589,129.6
првите,588,129.38
одиме,587,129.16
гради,586,128.94
пати,585,128.72
момент,585,128.72
стравот,583,128.28
шо,582,128.06
нашето,580,127.62
забележа,578,127.18
премногу,577,126.96
челото,576,126.74
појави,575,126.52
имаа,575,126.52
фрли,574,126.3
воздух,574,126.3
здив,574,126.3
никако,571,125.64
отец,571,125.64
застана,570,125.42
надеж,569,125.2
поле,567,124.76
убава,567,124.76
останува,567,124.76
бел,567,124.76
гледав,567,124.76
кажа,566,124.54
дом,564,124.1
сфати,563,123.88
одат,562,123.66
вистината,562,123.66
покажа,562,123.66
народот,561,123.44
нога,561,123.44
мали,561,123.44
к,558,122.78
дина,558,122.78
бело,557,122.56
птици,557,122.56
војна,556,122.34
добар,555,122.12
ѕвезди,555,122.12
мајката,552,121.46
надолу,552,121.46
крева,551,121.24
врска,551,121.24
нагоре,550,121.02
ум,549,120.8
никого,547,120.36
пушти,546,120.14
велат,546,120.14
веројатно,546,120.14
божем,544,119.7
дожд,542,119.26
европа,541,119.04
едниот,541,119.04
спие,540,118.82
ѕид,539,118.6
гледаа,539,118.6
боја,536,117.94
мислата,536,117.94
викна,535,117.72
седи,535,117.72
црно,533,117.28
прашање,533,117.28
усните,530,116.62
зема,528,116.18
удри,527,115.96
отколку,525,115.52
сили,525,115.52
сакал,525,115.52
тетка,525,115.52
жива,524,115.3
момче,524,115.3
девојка,524,115.3
можеа,524,115.3
големо,523,115.08
доволно,523,115.08
ракија,522,114.86
досега,521,114.64
ветер,521,114.64
коле,520,114.42
простор,520,114.42
сенки,520,114.42
чу,519,114.2
макар,519,114.2
отвора,518,113.98
старите,518,113.98
имаме,517,113.76
пее,517,113.76
мирно,517,113.76
трпе,517,113.76
негов,516,113.54
знаете,515,113.32
век,515,113.32
синот,515,113.32
прават,514,113.1
кирил,513,112.88
мама,513,112.88
викаше,513,112.88
маса,512,112.66
боже,512,112.66
гласови,512,112.66
просто,511,112.44
потковицата,511,112.44
имав,510,112.22
света,510,112.22
убав,509,112.0
правеше,509,112.0
камења,509,112.0
спрема,508,111.78
песни,507,111.56
жал,507,111.56
гори,505,111.12
бргу,505,111.12
слушам,504,110.9
ај,503,110.68
ангел,502,110.46
војници,502,110.46
помина,501,110.24
ѕвездите,501,110.24
блаже,500,110.02
црн,500,110.02
ха,499,109.8
црква,499,109.8
лета,497,109.36
силјан,497,109.36
чудо,496,109.14
слушаше,496,109.14
такво,495,108.92
истата,495,108.92
половина,495,108.92
дај,494,108.7
наши,493,108.48
свое,493,108.48
прашува,492,108.26
ѕвезда,491,108.04
јави,490,107.82
лето,490,107.82
доаѓаше,490,107.82
старата,489,107.6
додаде,489,107.6
видат,488,107.38
мирис,488,107.38
наместо,487,107.16
ново,486,106.94
мошне,486,106.94
врвот,486,106.94
молчи,486,106.94
првин,486,106.94
држеше,486,106.94
просторот,485,106.72
почетокот,485,106.72
лежи,485,106.72
прав,484,106.5
видиш,484,106.5
мака,483,106.28
гласно,483,106.28
земе,483,106.28
црквата,483,106.28
чело,482,106.06
носеше,482,106.06
лица,479,105.4
денеска,479,105.4
мрак,479,105.4
улица,479,105.4
тага,478,105.18
другари,477,104.96
кожа,477,104.96
н,476,104.74
едни,476,104.74
сакаат,476,104.74
пролет,476,104.74
благородна,475,104.52
појде,475,104.52
шума,474,104.3
некого,470,103.41
смисла,470,103.41
седна,469,103.19
плаче,467,102.75
важно,466,102.53
бег,466,102.53
скалите,466,102.53
големите,465,102.31
стара,464,102.09
мораше,464,102.09
седеше,464,102.09
доцна,463,101.87
никаде,463,101.87
мажи,463,101.87
капка,462,101.65
наш,460,101.21
инаку,460,101.21
накај,460,101.21
ќерка,459,100.99
парче,459,100.99
војната,459,100.99
долги,459,100.99
бараше,459,100.99
круг,458,100.77
разговор,458,100.77
заби,457,100.55
мало,457,100.55
извади,457,100.55
секула,457,100.55
целото,456,100.33
месо,456,100.33
движење,456,100.33
попот,455,100.11
стар,454,99.89
тајна,453,99.67
месеци,453,99.67
птиците,453,99.67
главите,451,99.23
десет,451,99.23
стефан,451,99.23
мртов,450,99.01
трага,449,98.79
крие,448,98.57
помош,447,98.35
чекаше,447,98.35
речам,446,98.13
јаде,446,98.13
мртвите,445,97.91
дождот,445,97.91
тишината,444,97.69
двор,442,97.25
грб,442,97.25
вчера,441,97.03
димитар,440,96.81
писмото,440,96.81
часот,440,96.81
морам,439,96.59
навреме,438,96.37
судбината,438,96.37
рано,437,96.15
мал,437,96.15
мостот,437,96.15
барам,436,95.93
затвори,435,95.71
глави,434,95.49
имал,434,95.49
болен,434,95.49
времиња,434,95.49
чии,433,95.27
креветот,433,95.27
приказна,433,95.27
недела,432,95.05
војска,432,95.05
чија,432,95.05
ист,432,95.05
оттаму,432,95.05
иван,431,94.83
дојдоа,431,94.83
еј,431,94.83
убавина,431,94.83
спроти,430,94.61
селаните,430,94.61
потреба,430,94.61
т,429,94.39
тече,429,94.39
последната,429,94.39
колибата,428,94.17
ноќи,426,93.73
сал,425,93.51
покажува,424,93.29
понатаму,424,93.29
чувствува,424,93.29
шумата,424,93.29
какво,423,93.07
силен,423,93.07
извика,423,93.07
реши,422,92.85
правам,422,92.85
останаа,422,92.85
трајче,422,92.85
ѕидовите,421,92.63
верувам,421,92.63
пие,421,92.63
дното,421,92.63
негово,420,92.41
роди,420,92.41
гроб,419,92.19
вториот,419,92.19
војниците,419,92.19
момчето,418,91.97
нивното,418,91.97
дрвјата,417,91.75
книгите,417,91.75
господине,417,91.75
пејо,417,91.75
наша,415,91.31
обиде,413,90.87
последниот,413,90.87
немој,412,90.65
бидеш,412,90.65
ана,412,90.65
разни,412,90.65
тревата,412,90.65
лево,411,90.43
одговор,411,90.43
усни,411,90.43
сигурен,411,90.43
слав,411,90.43
чуе,410,90.21
побара,409,89.99
помалку,409,89.99
шест,409,89.99
рекоа,409,89.99
книгата,409,89.99
слики,408,89.77
бега,408,89.77
носат,407,89.55
сеедно,407,89.55
гробот,407,89.55
куќите,406,89.33
ту,406,89.33
тајната,406,89.33
грбот,406,89.33
ушите,406,89.33
лик,406,89.33
прва,405,89.11
подаде,405,89.11
цвет,405,89.11
негде,404,88.89
портата,404,88.89
меѓутоа,403,88.67
помеѓу,403,88.67
иста,403,88.67
случило,403,88.67
замина,402,88.45
обично,402,88.45
случај,400,88.01
пријатели,400,88.01
вера,399,87.79
пријател,398,87.57
денко,398,87.57
прозорец,397,87.35
месечината,397,87.35
видиме,396,87.13
гледај,396,87.13
кожата,396,87.13
дрвото,396,87.13
песок,396,87.13
коњи,395,86.91
борко,395,86.91
полна,394,86.69
седум,393,86.47
десно,393,86.47
цели,393,86.47
училиште,393,86.47
прости,393,86.47
милка,393,86.47
негови,392,86.25
живо,392,86.25
точка,392,86.25
чопела,392,86.25
истото,391,86.03
заборави,391,86.03
единствено,391,86.03
д,390,85.81
смеа,389,85.59
митре,389,85.59
вид,389,85.59
задоволство,388,85.37
кажува,388,85.37
верува,388,85.37
дотогаш,388,85.37
одајата,388,85.37
млади,387,85.15
насмевна,387,85.15
сцена,387,85.15
никаква,386,84.93
гости,385,84.71
мајко,385,84.71
добра,385,84.71
допре,385,84.71
сликата,385,84.71
историјата,385,84.71
последен,384,84.49
подалеку,384,84.49
рамо,384,84.49
некакви,382,84.05
тешка,382,84.05
судбина,382,84.05
здивот,382,84.05
али,381,83.83
удира,381,83.83
дух,381,83.83
марко,380,83.61
плаши,380,83.61
повтори,380,83.61
брег,379,83.39
цврсто,379,83.39
продолжува,379,83.39
трева,379,83.39
борче,379,83.39
млеко,378,83.17
твоја,378,83.17
облека,378,83.17
a,378,83.17
синко,378,83.17
зоја,378,83.17
пламен,377,82.95
пишува,377,82.95
можно,377,82.95
бездруго,376,82.73
изгледаше,376,82.73
дорунтина,376,82.73
празни,375,82.51
филип,375,82.51
јаков,375,82.51
млад,374,82.29
број,374,82.29
македонски,373,82.07
внимателно,373,82.07
разбуди,373,82.07
темнината,373,82.07
вади,372,81.85
велиш,372,81.85
постела,372,81.85
јован,371,81.63
долга,371,81.63
окото,371,81.63
вратам,370,81.41
кому,369,81.19
штотуку,369,81.19
очигледно,369,81.19
новиот,369,81.19
сe,368,80.97
наоѓа,367,80.75
зима,367,80.75
успеа,367,80.75
прилеп,366,80.53
часови,366,80.53
самите,366,80.53
ацо,366,80.53
минатото,365,80.31
здравје,364,80.09
музика,364,80.09
чиста,364,80.09
ридот,363,79.87
долг,362,79.65
смири,362,79.65
езеро,362,79.65
г,361,79.43
цело,361,79.43
баш,361,79.43
десетина,361,79.43
трае,361,79.43
едноставно,361,79.43
мир,360,79.21
чува,358,78.77
ваму,358,78.77
можеме,358,78.77
допир,358,78.77
враќање,357,78.55
сто,357,78.55
ветар,357,78.55
цвеќе,356,78.33
притоа,356,78.33
пролетта,355,78.11
убави,355,78.11
манастирот,355,78.11
бараат,354,77.89
имало,354,77.89
свеста,354,77.89
почне,354,77.89
внимание,354,77.89
ветерот,354,77.89
повлече,354,77.89
браќа,353,77.67
мажот,353,77.67
бавно,353,77.67
ефенди,351,77.23
става,351,77.23
летото,351,77.23
месечина,350,77.01
правиш,350,77.01
знаеја,350,77.01
лежеше,350,77.01
говори,349,76.79
сопствената,349,76.79
слобода,348,76.57
насекаде,348,76.57
земи,348,76.57
следи,348,76.57
спушти,348,76.57
расте,348,76.57
конечно,348,76.57
села,347,76.35
запре,347,76.35
чиниш,347,76.35
чекам,346,76.13
вечерва,346,76.13
боли,346,76.13
волја,346,76.13
годините,346,76.13
таткото,345,75.91
минути,345,75.91
тешки,345,75.91
запали,345,75.91
знаеме,345,75.91
чита,344,75.69
одаја,343,75.47
дело,343,75.47
средината,342,75.25
гранки,342,75.25
нора,341,75.03
пример,341,75.03
силата,340,74.81
лично,340,74.81
градината,340,74.81
изгуби,340,74.81
кафе,339,74.59
врв,339,74.59
објасни,339,74.59
дошол,338,74.37
чудна,338,74.37
наполно,338,74.37
he,338,74.37
гранките,338,74.37
другото,337,74.15
млада,337,74.15
дојдов,337,74.15
првото,336,73.93
дваесет,335,73.71
прозорците,335,73.71
пепел,335,73.71
порта,335,73.71
новата,335,73.71
мигот,335,73.71
отаде,335,73.71
роден,334,73.49
грлото,334,73.49
слушна,334,73.49
поинаку,334,73.49
поезија,333,73.27
прагот,333,73.27
патишта,333,73.27
тела,332,73.05
левата,331,72.83
доаѓаат,331,72.83
остава,331,72.83
секако,331,72.83
стануваше,331,72.83
подот,330,72.61
спокојно,330,72.61
состојба,330,72.61
причина,330,72.61
парите,329,72.39
молк,329,72.39
облаци,329,72.39
судијата,329,72.39
одиш,328,72.17
мртви,328,72.17
дал,327,71.95
носот,327,71.95
мило,327,71.95
филозофот,327,71.95
падне,326,71.73
исти,326,71.73
луција,326,71.73
полн,325,71.51
отворено,325,71.51
планини,325,71.51
лидија,325,71.51
тимотеј,324,71.29
десната,323,71.07
возбуда,323,71.07
прашав,323,71.07
битола,322,70.85
најдов,322,70.85
вашите,321,70.63
солун,321,70.63
вечно,321,70.63
топло,321,70.63
средба,321,70.63
доаѓаа,321,70.63
црвени,321,70.63
змија,321,70.63
души,320,70.41
слушај,320,70.41
роса,320,70.41
крик,320,70.41
близу,320,70.41
гола,320,70.41
истовремено,319,70.19
лист,318,69.97
арно,317,69.75
апостол,317,69.75
храна,317,69.75
трајан,317,69.75
човечки,317,69.75
че,317,69.75
иде,316,69.53
некакво,316,69.53
дланка,316,69.53
коњите,316,69.53
данило,316,69.53
почеток,315,69.31
куче,315,69.31
последните,315,69.31
чуден,315,69.31
пес,315,69.31
засекогаш,315,69.31
говор,314,69.09
осман,314,69.09
царот,314,69.09
можело,314,69.09
живеат,314,69.09
училиштето,314,69.09
дојдат,313,68.87
власт,313,68.87
фаќа,313,68.87
одеа,313,68.87
биди,312,68.65
корен,312,68.65
поет,312,68.65
цанде,312,68.65
таушан,312,68.65
пушката,311,68.43
м,311,68.43
турците,311,68.43
намера,311,68.43
дојди,311,68.43
фрла,311,68.43
темни,311,68.43
исправи,311,68.43
единствен,311,68.43
роман,311,68.43
елена,311,68.43
чекаат,310,68.21
страшно,310,68.21
србин,310,68.21
нежно,310,68.21
посилно,310,68.21
случајно,310,68.21
одвреме,310,68.21
набргу,310,68.21
сакаа,309,67.99
чувствувам,309,67.99
можност,309,67.99
спаси,308,67.77
драшко,308,67.77
чиј,307,67.55
татка,307,67.55
кревет,307,67.55
теодос,307,67.55
векови,307,67.55
работите,306,67.33
земам,306,67.33
дојдам,306,67.33
коските,306,67.33
сенките,306,67.33
ненадејно,306,67.33
срам,305,67.11
разговорот,305,67.11
ретко,305,67.11
бе,304,66.89
минува,304,66.89
отворени,304,66.89
двата,304,66.89
благоја,304,66.89
свири,303,66.67
вечерта,303,66.67
соништа,303,66.67
болест,303,66.67
детството,303,66.67
старец,303,66.67
помине,302,66.45
откај,302,66.45
кирков,302,66.45
требало,301,66.23
твој,301,66.23
