source,sentence_id,token_id,form,lemma_gold,upos
UD-MTB,0,1,Девојката,девојка,NOUN
UD-MTB,0,2,му,му,PRON
UD-MTB,0,3,напиша,напишe,VERB
UD-MTB,0,4,писмо,писмо,NOUN
UD-MTB,0,5,на,на,ADP
UD-MTB,0,6,својот,свој,DET
UD-MTB,0,7,пријател,пријател,NOUN
UD-MTB,0,8,.,.,PUNCT
UD-MTB,1,1,Мислам,мисли,VERB
UD-MTB,1,2,дека,дека,SCONJ
UD-MTB,1,3,врне,врне,VERB
UD-MTB,1,4,.,.,PUNCT
UD-MTB,2,1,Тој,тој,PRON
UD-MTB,2,2,се,се,PRON
UD-MTB,2,3,обиде,обиде,VERB
UD-MTB,2,4,да,да,PART
UD-MTB,2,5,престане,престане,VERB
UD-MTB,2,6,да,да,PART
UD-MTB,2,7,пуши,пуши,VERB
UD-MTB,2,8,и,и,CCONJ
UD-MTB,2,9,да,да,PART
UD-MTB,2,10,пие,пие,VERB
UD-MTB,2,11,.,.,PUNCT
UD-MTB,3,1,Сакаш,сака,VERB
UD-MTB,3,2,да,да,PART
UD-MTB,3,3,си,си,PRON
UD-MTB,3,4,одиш,оди,VERB
UD-MTB,3,5,?,?,PUNCT
UD-MTB,4,1,Сем,Сем,PROPN
UD-MTB,4,2,",",",",PUNCT
UD-MTB,4,3,отвори,отвори,VERB
UD-MTB,4,4,го,го,PRON
UD-MTB,4,5,прозорецот,прозорец,NOUN
UD-MTB,4,6,!,!,PUNCT
UD-MTB,5,1,Го,го,PRON
UD-MTB,5,2,натера,натера,VERB
UD-MTB,5,3,мажот,маж,NOUN
UD-MTB,5,4,ѝ,ѝ,PRON
UD-MTB,5,5,да,да,PART
UD-MTB,5,6,ја,ја,PRON
UD-MTB,5,7,измие,измие,VERB
UD-MTB,5,8,колата,кола,NOUN
UD-MTB,5,9,.,.,PUNCT
UD-MTB,6,1,Соседот,сосед,NOUN
UD-MTB,6,2,на,на,ADP
UD-MTB,6,3,Петар,Петар,PROPN
UD-MTB,6,4,ја,ја,PRON
UD-MTB,6,5,исфарба,исфарба,VERB
UD-MTB,6,6,оградата,ограда,NOUN
UD-MTB,6,7,црвена,црвена,ADJ
UD-MTB,6,8,.,.,PUNCT
UD-MTB,7,1,Мојот,мој,DET
UD-MTB,7,2,татко,татко,NOUN
UD-MTB,7,3,е,сум,AUX
UD-MTB,7,4,позабавен,забавен,ADJ
UD-MTB,7,5,од,од,ADP
UD-MTB,7,6,твојот,твој,DET
UD-MTB,7,7,.,.,PUNCT
UD-MTB,8,1,Мери,Мери,PROPN
UD-MTB,8,2,освои,освои,VERB
UD-MTB,8,3,бронза,бронза,NOUN
UD-MTB,8,4,",",",",PUNCT
UD-MTB,8,5,Петар,Петар,PROPN
UD-MTB,8,6,сребро,сребро,NOUN
UD-MTB,8,7,",",",",PUNCT
UD-MTB,8,8,а,а,CCONJ
UD-MTB,8,9,Џејн,Џејн,PROPN
UD-MTB,8,10,злато,злато,NOUN
UD-MTB,8,11,.,.,PUNCT
UD-MTB,9,1,Игуацу,Игуацу,PROPN
UD-MTB,9,2,е,сум,AUX
UD-MTB,9,3,голема,голем,ADJ
UD-MTB,9,4,или,или,CCONJ
UD-MTB,9,5,мала,мал,ADJ
UD-MTB,9,6,држава,држава,NOUN
UD-MTB,9,7,?,?,PUNCT
UD-MTB,10,1,Ниту,ниту,PART
UD-MTB,10,2,Петар,Петар,PROPN
UD-MTB,10,3,Смит,Смит,PROPN
UD-MTB,10,4,ниту,ниту,PART
UD-MTB,10,5,Мери,Мери,PROPN
UD-MTB,10,6,Браун,Браун,PROPN
UD-MTB,10,7,не,не,PART
UD-MTB,10,8,можеа,може,VERB
UD-MTB,10,9,да,да,PART
UD-MTB,10,10,бидат,биде,AUX
UD-MTB,10,11,одбрани,одбран,ADJ
UD-MTB,10,12,.,.,PUNCT
UD-MTB,11,1,Не,не,PART
UD-MTB,11,2,знаат,знае,VERB
UD-MTB,11,3,кој,кој,PRON
UD-MTB,11,4,го,го,PRON
UD-MTB,11,5,напишал,напише,VERB
UD-MTB,11,6,.,.,PUNCT
UD-MTB,12,1,Што,што,PRON
UD-MTB,12,2,гледаш,гледа,VERB
UD-MTB,12,3,?,?,PUNCT
UD-MTB,13,1,Кога,кога,ADV
UD-MTB,13,2,мислиш,мисли,VERB
UD-MTB,13,3,дека,дека,SCONJ
UD-MTB,13,4,можеш,може,VERB
UD-MTB,13,5,да,да,PART
UD-MTB,13,6,дојдеш,дојде,VERB
UD-MTB,13,7,?,?,PUNCT
UD-MTB,14,1,Тој,тој,PRON
UD-MTB,14,2,купи,купи,VERB
UD-MTB,14,3,автомобил,автомобил,NOUN
UD-MTB,14,4,",",",",PUNCT
UD-MTB,14,5,но,но,CCONJ
UD-MTB,14,6,неговиот,негов,DET
UD-MTB,14,7,брат,брат,NOUN
UD-MTB,14,8,–,–,PUNCT
UD-MTB,14,9,само,само,ADV
UD-MTB,14,10,велосипед,велосипед,NOUN
UD-MTB,14,11,.,.,PUNCT
UD-MTB,15,1,Петар,Петар,PROPN
UD-MTB,15,2,и,и,CCONJ
UD-MTB,15,3,Мери,Мери,PROPN
UD-MTB,15,4,се,се,PRON
UD-MTB,15,5,прегрнаа,прегрне,VERB
UD-MTB,15,6,и,и,CCONJ
UD-MTB,15,7,потоа,потоа,ADV
UD-MTB,15,8,излегоа,излезе,VERB
UD-MTB,15,9,од,од,ADP
UD-MTB,15,10,собата,соба,NOUN
UD-MTB,15,11,.,.,PUNCT
UD-MTB,16,1,Требаше,треба,VERB
UD-MTB,16,2,да,да,PART
UD-MTB,16,3,си,си,PRON
UD-MTB,16,4,ја,ја,PRON
UD-MTB,16,5,направи,направи,VERB
UD-MTB,16,6,фризурата,фризура,NOUN
UD-MTB,16,7,",",",",PUNCT
UD-MTB,16,8,но,но,CCONJ
UD-MTB,16,9,дента,ден,ADV
UD-MTB,16,10,од,од,ADP
UD-MTB,16,11,некоја,некој,DET
UD-MTB,16,12,причина,причина,NOUN
UD-MTB,16,13,не,не,PART
UD-MTB,16,14,ја,ја,PRON
UD-MTB,16,15,направи,направи,VERB
UD-MTB,16,16,.,.,PUNCT
UD-MTB,17,1,Не,не,PART
UD-MTB,17,2,можев,може,VERB
UD-MTB,17,3,да,да,PART
UD-MTB,17,4,го,го,PRON
UD-MTB,17,5,следам,следи,VERB
UD-MTB,17,6,бидејќи,бидејќи,SCONJ
UD-MTB,17,7,трчаше,трча,VERB
UD-MTB,17,8,пребрзо,брзо,ADV
UD-MTB,17,9,.,.,PUNCT
UD-MTB,18,1,Ова,ова,DET
UD-MTB,18,2,писмо,писмо,NOUN
UD-MTB,18,3,е,сум,AUX
UD-MTB,18,4,од,од,ADP
UD-MTB,18,5,Петар,Петар,PROPN
UD-MTB,18,6,и,и,CCONJ
UD-MTB,18,7,беше,сум,AUX
UD-MTB,18,8,испорачано,испорачан,VERB
UD-MTB,18,9,вчера,вчера,ADV
UD-MTB,18,10,.,.,PUNCT
UD-MTB,19,1,Таа,таа,PRON
UD-MTB,19,2,израсна,израсна,VERB
UD-MTB,19,3,во,во,ADP
UD-MTB,19,4,Париз,Париз,PROPN
UD-MTB,19,5,",",",",PUNCT
UD-MTB,19,6,главниот,главен,ADJ
UD-MTB,19,7,град,град,NOUN
UD-MTB,19,8,на,на,ADP
UD-MTB,19,9,Франција,Франција,PROPN
UD-MTB,19,10,.,.,PUNCT
UD-MTB,20,1,Одеа,оди,VERB
UD-MTB,20,2,накај,накај,ADP
UD-MTB,20,3,дома,дома,ADV
UD-MTB,20,4,и,и,CCONJ
UD-MTB,20,5,разговараа,разговара,VERB
UD-MTB,20,6,за,за,ADP
UD-MTB,20,7,филмот,филм,NOUN
UD-MTB,20,8,.,.,PUNCT
UD-MTB,21,1,Влеговме,влезе,VERB
UD-MTB,21,2,на,на,ADP
UD-MTB,21,3,стадионот,стадион,NOUN
UD-MTB,21,4,порано,порано,ADV
UD-MTB,21,5,и,и,CCONJ
UD-MTB,21,6,седнавме,седне,VERB
UD-MTB,21,7,на,на,ADP
UD-MTB,21,8,добро,добар,ADJ
UD-MTB,21,9,место,место,NOUN
