number,title_mk,author,source,year,genre,original_year,year_clean
1,Македонска книжевност IX - XVIII век,Велев Илија,НИД „МИКЕНА“ - Битола,2008,Критика,,
2,Просветителството во Македонија,Сталев Георги,НИД „МИКЕНА“ - Битола,2008,Критика,,
3,македонски народни умотворби,Китевски Марко,НИД „МИКЕНА“ - Битола,2008,Критика,,
4,Книжевната преродба: Панорана на македонската поезија во XIX век,Тодоровски Гане,НИД „МИКЕНА“ - Битола,2008,Критика,,
5,Македонски Литературни пројави: Од лозарство до другарство,Ристовски Блаже,АРС ЛАМИНА -Скопје,2013,Критика,,
6,Македонска битова драма,Лужина Јелена,НИД „МИКЕНА“ - Битола,2008,Критика,,
7,Македонски дводомни писатели,Тодоровски Томислав,НИД „МИКЕНА“ - Битола,2008,Критика,,
8,Основоположници на современата македонска поезија,Старделов Георги,НИД „МИКЕНА“ - Битола,2008,Критика,,
9,Калеш Анѓа,Попов Стале,НИД „МИКЕНА“ - Битола,2008,Проза,1958,1958
10,Пустина,Абаџиев Ѓорѓи,НИД „МИКЕНА“ - Битола,2008,Проза,1961,1961
11,Она што беше небо,Малевски Владо,НИД „МИКЕНА“ - Битола,2008,Проза,1958,1958
12,Тврдоглави,Јаневски Славко,НИД „МИКЕНА“ - Битола,2008,Проза,1969,1969
13,Солунските атентатори,Бошковски Јован,НИД „МИКЕНА“ - Битола,2008,Проза,1962,1962
14,Читано отпосле,Чашуле Коле,НИД „МИКЕНА“ - Битола,2008,Драма,,
15,Послание,Конески Блаже,НИД „МИКЕНА“ - Битола,2008,Поезија,,
16,Раѓањето на зборот,Шопов Ацо,НИД „МИКЕНА“ - Битола,2008,Поезија,,
17,Будалетинки,Јованоски Мето,НИД „МИКЕНА“ - Битола,2008,Проза,1973,1973
18,Посегање по чудесното,Иваноски Србо,НИД „МИКЕНА“ - Битола,2008,Поезија,,
19,Прогонети од рајот,Матевски Матеја,НИД „МИКЕНА“ - Битола,2008,Поезија,,
20,Живеј песно!,Тодоровски Гане,НИД „МИКЕНА“ - Битола,2008,Поезија,,
21,Белата долина,Дракул Симон,НИД „МИКЕНА“ - Битола,2008,Проза,1962,1962
22,Кратката прослет на Моно Самоников,Солев Димитар,НИД „МИКЕНА“ - Битола,2008,Проза,1964,1964
23,Провиденија,Попоски Анте,НИД „МИКЕНА“ - Битола,2008,Поезија,,
24,Вода. Зарек,Стрезовски Јован,НИД „МИКЕНА“ - Битола,2008,Проза,1972 / 1981,1972
25,Избор,Иванов Благоја,НИД „МИКЕНА“ - Битола,2008,Проза,/,
26,Од премудрата тишина,Ташковски Љубен,НИД „МИКЕНА“ - Битола,2008,Поезија,,
27,Свадбата на Мара,Костов Владимир,НИД „МИКЕНА“ - Битола,2008,Проза,1968,1968
28,Големите скитачи,Фотев Методија,НИД „МИКЕНА“ - Битола,2008,Проза,1970,1970
29,Црноборје,Ширилов Петар,НИД „МИКЕНА“ - Битола,2008,Проза,1972,1972
30,Пиреј; Дениција,Андреевски Петре,НИД „МИКЕНА“ - Битола,2008,Проза / поезија,1980 (Пиреј),1980
31,Сончева белегија,Котески Јован,НИД „МИКЕНА“ - Битола,2008,Поезија,,
32,Последниот лет на птицата селица,Варошлија Бранко,НИД „МИКЕНА“ - Битола,2008,Проза,1968,1968
33,Потковица на смртта и надежта,Неделковски Миле,НИД „МИКЕНА“ - Битола,2008,Поезија,,
34,Пасквелија,Чинго Живко,НИД „МИКЕНА“ - Битола,2008,Проза,1963,1963
35,Александар и смртта,Мицковиќ Слободан,НИД „МИКЕНА“ - Битола,2008,Проза,1992,1992
36,Црвениот коњ,Ѓорѓиевски Ташко,НИД „МИКЕНА“ - Битола,2008,Проза,1975,1975
37,Некој ме уми,Бошковски Т. Петар,НИД „МИКЕНА“ - Битола,2008,Поезија,,
38,Храм. Молитви,Ренџов Михаил,НИД „МИКЕНА“ - Битола,2008,Поезија,,
39,Вежби за ИБН Пајко,Николова Оливера,НИД „МИКЕНА“ - Битола,2008,Проза,2000,2000
40,Заштитна повелба,Павлоски Радован,НИД „МИКЕНА“ - Битола,2008,Поезија,,
41,"Само понатаму, во височините",Павлоски Јован,НИД „МИКЕНА“ - Битола,2008,Поезија,,
42,Црни соколи - бели меглени,Чаповски Иван,НИД „МИКЕНА“ - Битола,2008,Поезија,,
43,Непредвидени прошетки,Урошевиќ Влада,НИД „МИКЕНА“ - Битола,2008,Поезија,,
44,Оствор на копно,Ѓузел Богомил,НИД „МИКЕНА“ - Битола,2008,Поезија,,
45,Босфорско завештание,Петровски Трајан,НИД „МИКЕНА“ - Битола,2008,Поезија,,
46,Зоја,Гилевски Паскал,НИД „МИКЕНА“ - Битола,2008,Проза,1986,1986
47,Тимотеј и Лидија,Ширилов Ташко,НИД „МИКЕНА“ - Битола,2008,Проза,1999,1999
48,Поезија,Дабески Петко,НИД „МИКЕНА“ - Битола,2008,Поезија,,
49,Не будете ме ноќва,Јакимовски Чедо,НИД „МИКЕНА“ - Битола,2008,Поезија,,
50,Бесконечното,Михаилова Гордана,НИД „МИКЕНА“ - Битола,2008,Поезија,,
51,Ветришта над Равен,Крстев Христо,НИД „МИКЕНА“ - Битола,2008,Проза,/,
52,Татковите книги,Старова Луан,НИД „МИКЕНА“ - Битола,2008,Проза,1992,1992
53,Направи едно чудо,Јоциќ Светлана,НИД „МИКЕНА“ - Битола,2008,Поезија,,
54,Аквамарин,Урошевиќ Тања,НИД „МИКЕНА“ - Битола,2008,Проза,2004,2004
55,Уткини соседи,Павлоски Божин,НИД „МИКЕНА“ - Битола,2008,Проза,1987,1987
56,Сивите гребени,Јачев Ристо,НИД „МИКЕНА“ - Битола,2008,Поезија,,
57,Аристотел од Ресен,Ковачески Зоран,НИД „МИКЕНА“ - Битола,2008,Проза,1984,1984
58,Чувар на полето,Василевски Ристо,НИД „МИКЕНА“ - Битола,2008,Поезија,,
59,Бунар,Башевски Димитар,НИД „МИКЕНА“ - Битола,2008,Проза,2001,2001
60,Кон другата земја,Маџунков Митко,НИД „МИКЕНА“ - Битола,2008,Проза,1993,1993
61,Ѕидање сон,Чаловски Тодор,НИД „МИКЕНА“ - Битола,2008,Поезија,,
62,Изучување на молкот,Вангелов Атанас,НИД „МИКЕНА“ - Битола,2008,Поезија,,
63,Ангелот од Курбиново,Клетников Ефтим,НИД „МИКЕНА“ - Битола,2008,Поезија,,
64,Небесен оган,Бакевски Петре,НИД „МИКЕНА“ - Битола,2008,Поезија,,
65,На небото книга,Чачански Крсте,НИД „МИКЕНА“ - Битола,2008,Проза,2000,2000
66,Шупливи ореви,Манчев Васе,НИД „МИКЕНА“ - Битола,2008,Проза,/,
67,Жива рана,Лазаров Ристо,НИД „МИКЕНА“ - Битола,2008,Поезија,,
68,Силјан повторно лета,Крстевски Трајче,НИД „МИКЕНА“ - Битола,2008,Проза,1994,1994
69,Снегот во Казабланка,Колбе Кица,НИД „МИКЕНА“ - Битола,2008,Проза,2006,2006
70,Избор,Михајловски Драги,НИД „МИКЕНА“ - Битола,2008,Проза,/,
71,Ерато,Ќулавкова Катица,НИД „МИКЕНА“ - Битола,2008,Поезија,,
72,Капката оловна вода,Стојковски Глигор,НИД „МИКЕНА“ - Битола,2008,Поезија,,
73,Раз-градба,Линдро Милош,НИД „МИКЕНА“ - Битола,2008,Поезија,,
74,Високо вода,Стефановски Милован,НИД „МИКЕНА“ - Битола,2008,Поезија,,
75,Мартинки,Ацевска Весна,НИД „МИКЕНА“ - Битола,2008,Поезија,,
76,Светот мојот брат,Дирјан Лидија,НИД „МИКЕНА“ - Битола,2008,Поезија,,
77,Избрани песни,Анчевски Зоран,НИД „МИКЕНА“ - Битола,2008,Поезија,,
78,Отсуството на благиот II,Чејковска Вера,НИД „МИКЕНА“ - Битола,2008,Поезија,,
79,Коба,Даниловски Јордан,НИД „МИКЕНА“ - Битола,2008,Поезија,,
80,Избрани раскази,Прокопиев Александар,НИД „МИКЕНА“ - Битола,2008,Проза,/,
81,Приказни од Долна Земја,Србиновски Младен,НИД „МИКЕНА“ - Битола,2008,Проза,2005,2005
82,Волја за мисла,Џепаровски Иван,НИД „МИКЕНА“ - Битола,2008,Поезија,,
83,Поле. Бојно поле?,Димовски Славе Ѓорго,НИД „МИКЕНА“ - Битола,2008,Поезија,,
84,Хаос под небото,Ташковски Братислав,НИД „МИКЕНА“ - Битола,2008,Поезија,,
85,Нишан,Миневски Блаже,НИД „МИКЕНА“ - Битола,2008,Проза,2007,2007
86,Егзотична кантата,Лафазановски Ермис,НИД „МИКЕНА“ - Битола,2008,Проза,/,
87,Папокот на светот,Андоновски Венко,НИД „МИКЕНА“ - Битола,2008,Проза,2000,2000
88,Идеална тежина,Димковска Лидија,НИД „МИКЕНА“ - Битола,2008,Поезија,,
89,Начин на постоење,Маџиров Никола,НИД „МИКЕНА“ - Битола,2008,Поезија,,
90,Разговор со Спиноза,Смилевски Гоце,НИД „МИКЕНА“ - Битола,2008,Проза,2002,2002
91,Синтакса на светлината,Тасевски Јовица,НИД „МИКЕНА“ - Битола,2008,Поезија,,
92,Современа македонска поезија,Смилевски Веле,НИД „МИКЕНА“ - Битола,2008,Поезија,,
93,Македонски раскази,Силјан Раде,НИД „МИКЕНА“ - Битола,2008,Проза,,
94/95,Романи за деца (I) и  (II),Јоциќ Светлана,НИД „МИКЕНА“ - Битола,2008,Проза,,
96,Современа македонска поезија за деца,Спасевски Мито,НИД „МИКЕНА“ - Битола,2008,Поезија,,
97,Раскази за деца,Димовски Петре,НИД „МИКЕНА“ - Битола,2008,Проза,,
98,Парадоксот на Диоген,Арсовски Томе,НИД „МИКЕНА“ - Битола,2008,Драма,,
99,Одбрани драми,Стефановски Горан,НИД „МИКЕНА“ - Битола,2008,Драма,,
100,Одбрани драми,Плевнеш Јордан,НИД „МИКЕНА“ - Битола,2008,Драма,,
101,Современа македонска драма,Стојаноска Ана,НИД „МИКЕНА“ - Битола,2008,Драма,,
102,Кодот на македонската книжевна историја,Митрев Димитар,НИД „МИКЕНА“ - Битола,2008,Проза,,
103,По трагите на смислата и убавината: критики и огледи,Ѓурчинов Милан,НИД „МИКЕНА“ - Битола,2008,Проза,,
104,Херменевтика на новата македонска книжевност,Старделов Георги,НИД „МИКЕНА“ - Битола,2008,Проза,,
105,Македонската литературна критика,Силјан Раде,НИД „МИКЕНА“ - Битола,2008,Критика,,
106,Македонскиот есеј,Џепаровски Иван,НИД „МИКЕНА“ - Битола,2008,Проза,,
107,Mëkatet e falura,Исаку Мурат,НИД „МИКЕНА“ - Битола,2008,Поезија,,
108,Shqetësimi në djep,Ислами Абдилазис,НИД „МИКЕНА“ - Битола,2008,Поезија,,
109,Koha e dhive,Старова Луан,НИД „МИКЕНА“ - Битола,2008,Проза,,
110,Hamleti me plis të zi,Шабани Ресул,НИД „МИКЕНА“ - Битола,2008,Поезија,,
111,Pahintikë në ëndërr,Ахмети Џабир,НИД „МИКЕНА“ - Битола,2008,Драма,,
112,Klithma e ikarit,Гајтани Адем,НИД „МИКЕНА“ - Битола,2008,Поезија,,
113,Don Kishoti te shqiptarët,Алиу Али,НИД „МИКЕНА“ - Битола,2008,Проза,,
114,Bota sillet rreth jugut,Винча Агим,НИД „МИКЕНА“ - Битола,2008,Поезија,,
115,Alpinisti,Баша Екрем,НИД „МИКЕНА“ - Битола,2008,Проза,,
116,Alga e dalë nga deti,Сопај Нехас,НИД „МИКЕНА“ - Битола,2008,Поезија,,
117,Vitet e urithit,Мехмети Ким,НИД „МИКЕНА“ - Битола,2008,Проза,,
118,Droja e kadiut,Златку Реџеп,НИД „МИКЕНА“ - Битола,2008,Проза,,
119,Drama,Халими Скелзен,НИД „МИКЕНА“ - Битола,2008,Драма,,
120,Poezi (I),Алиу  Али,НИД „МИКЕНА“ - Битола,2008,Поезија,,
121,Poezi (II),Алиу  Али,НИД „МИКЕНА“ - Битола,2008,Поезија,,
122,Tregime të zgjedhura,Зендели Халил,НИД „МИКЕНА“ - Битола,2008,Проза,,
123,Dallgët e jetës,Бојку Фејзи,НИД „МИКЕНА“ - Битола,2008,Проза,,
124,Paç ditën e mbarë,Бојку Фејзи,НИД „МИКЕНА“ - Битола,2008,Поезија,,
