file_number,merge_key,file_name,author_from_filename,author_from_catalog,title_from_filename,title_from_catalog,genre,source,year,year_clean,original_year,file_size_kb,encoding,_merge,language,cyrillic_ratio,has_mk_chars,has_sq_chars,detection_method,langdetect_result,genre_detected,genre_final,detection_notes,is_fiction,is_original_mk,text_category
06а,6,06 а) nikola kirov majski - ilinden.txt,nikola kirov majski,Лужина Јелена,ilinden,Македонска битова драма,Критика,НИД „МИКЕНА“ - Битола,2008,,,196.94,UTF-8-SIG,both,mk,0.9839,True,False,cyrillic_dominant + mk_specific_chars,mk,Драма,Драма,"маркеры драмы в шапке (1): ['[Дд]рама\\s+во\\s+(два|три|четир']; маркеры драмы в теле текста: 5; ремарок: 154, диалогов в формате ИМЯ: 425; файл 06а: часть антологии ""Македонска битова драма"", каталожный жанр = Критика; исправлено на Драма (пьеса из антологии)",True,True,original_mk
06б,6,06 б) anton panov - pecalbari.txt,anton panov,Лужина Јелена,pecalbari,Македонска битова драма,Критика,НИД „МИКЕНА“ - Битола,2008,,,106.12,UTF-8-SIG,both,mk,0.9992,True,False,cyrillic_dominant + mk_specific_chars,mk,Драма,Драма,"маркеры драмы в шапке (1): ['^\\s*ЛИЦА\\s*[:\\n]']; маркеры драмы в теле текста: 3; ремарок: 191, диалогов в формате ИМЯ: 493; файл 06б: часть антологии ""Македонска битова драма"", каталожный жанр = Критика; исправлено на Драма (пьеса из антологии)",True,True,original_mk
06в,6,06 в) vasil iljoski - corbadji teodos.txt,vasil iljoski,Лужина Јелена,corbadji teodos,Македонска битова драма,Критика,НИД „МИКЕНА“ - Битола,2008,,,188.33,UTF-8-SIG,both,mk,0.9978,True,False,cyrillic_dominant + mk_specific_chars,mk,Драма,Драма,"ремарок: 287, диалогов в формате ИМЯ: 1030; файл 06в: часть антологии ""Македонска битова драма"", каталожный жанр = Критика; исправлено на Драма (пьеса из антологии)",True,True,original_mk
06г,6,06 г) risto krle - parite se otepuvacka.txt,risto krle,Лужина Јелена,parite se otepuvacka,Македонска битова драма,Критика,НИД „МИКЕНА“ - Битола,2008,,,231.69,UTF-8-SIG,both,mk,0.9986,True,False,cyrillic_dominant + mk_specific_chars,mk,Драма,Драма,"маркеры драмы в шапке (1): ['^\\s*ЛИЦА\\s*[:\\n]']; маркеры драмы в теле текста: 4; ремарок: 344, диалогов в формате ИМЯ: 1062; файл 06г: часть антологии ""Македонска битова драма"", каталожный жанр = Критика; исправлено на Драма (пьеса из антологии)",True,True,original_mk
9,9,9 Стале Попов - Калеш Анѓа.txt,Стале Попов,Попов Стале,Калеш Анѓа,Калеш Анѓа,Проза,НИД „МИКЕНА“ - Битола,2008,1958.0,1958,486.52,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
10,10,10  Ѓорѓи Абаџиев - Пустина.txt,Ѓорѓи Абаџиев,Абаџиев Ѓорѓи,Пустина,Пустина,Проза,НИД „МИКЕНА“ - Битола,2008,1961.0,1961,371.37,UTF-8-SIG,both,mk,0.9994,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
11,11,11 Владо Малески - Избор.txt,Владо Малески,Малевски Владо,Избор,Она што беше небо,Проза,НИД „МИКЕНА“ - Битола,2008,1958.0,1958,451.65,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
12,12,12 Славко Јаневски - Тврдоглави.txt,Славко Јаневски,Јаневски Славко,Тврдоглави,Тврдоглави,Проза,НИД „МИКЕНА“ - Битола,2008,1969.0,1969,869.6,UTF-8-SIG,both,mk,0.989,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
13,13,13 Јован Бошковски - Солунските атентатори.txt,Јован Бошковски,Бошковски Јован,Солунските атентатори,Солунските атентатори,Проза,НИД „МИКЕНА“ - Битола,2008,1962.0,1962,367.62,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
14,14,14 Коле Чашуле - Вејка на ветрот; Така е.txt,Коле Чашуле,Чашуле Коле,Вејка на ветрот; Така е,Читано отпосле,Драма,НИД „МИКЕНА“ - Битола,2008,,,977.65,UTF-8-SIG,both,mk,0.9993,True,False,cyrillic_dominant + mk_specific_chars,mk,Драма,Драма,"маркеры драмы в теле текста: 3; ремарок: 355, диалогов в формате ИМЯ: 409; каталог: Драма",True,True,original_mk
15,15,15 Блаже Конески - Лозје.txt,Блаже Конески,Конески Блаже,Лозје,Послание,Поезија,НИД „МИКЕНА“ - Битола,2008,,,393.82,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,каталог: Поезија,True,True,original_mk
16,16,16 Ацо Шопов.txt,Ацо Шопов,Шопов Ацо,,Раѓањето на зборот,Поезија,НИД „МИКЕНА“ - Битола,2008,,,175.84,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 30.0, медиана: 31; каталог: Поезија",True,True,original_mk
17,17,17 Мето Јовановски - Будалетинки.txt,Мето Јовановски,Јованоски Мето,Будалетинки,Будалетинки,Проза,НИД „МИКЕНА“ - Битола,2008,1973.0,1973,307.88,UTF-8-SIG,both,mk,0.9961,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
