file_number,file_name,author,title,file_size_kb,encoding,extension
06а,06 а) nikola kirov majski - ilinden.txt,nikola kirov majski,ilinden,196.94,UTF-8-SIG,.txt
06б,06 б) anton panov - pecalbari.txt,anton panov,pecalbari,106.12,UTF-8-SIG,.txt
06в,06 в) vasil iljoski - corbadji teodos.txt,vasil iljoski,corbadji teodos,188.33,UTF-8-SIG,.txt
06г,06 г) risto krle - parite se otepuvacka.txt,risto krle,parite se otepuvacka,231.69,UTF-8-SIG,.txt
10,10  Ѓорѓи Абаџиев - Пустина.txt,Ѓорѓи Абаџиев,Пустина,371.37,UTF-8-SIG,.txt
100,100 Плевнеш Јордан Одбрани драми.txt,Плевнеш Јордан,Одбрани драми,1016.04,UTF-8-SIG,.txt
101,101 Стојаноска Ана Современа македонска драма.txt,Стојаноска Ана,Современа македонска драма,1358.25,UTF-8-SIG,.txt
102,102 Митрев Димитар Кодот на македонската книжевна историја.txt,Митрев Димитар,Кодот на македонската книжевна историја,784.08,UTF-8-SIG,.txt
103,103 Ѓурчинов По трагите на смислата и убавината.txt,Ѓурчинов,По трагите на смислата и убавината,210.38,UTF-8-SIG,.txt
104,104 Старделов Херменевтика на новата македонска книжевност.txt,Старделов,Херменевтика на новата македонска книжевност,1396.59,UTF-8-SIG,.txt
105,105 Силјан Раде Критика.txt,Силјан Раде,Критика,1520.53,UTF-8-SIG,.txt
106,106 Џепароски Иван Македонскиот есеј.txt,Џепароски Иван,Македонскиот есеј,1206.5,UTF-8-SIG,.txt
107,107 Murat Isaku.txt,Murat Isaku,,126.35,UTF-8-SIG,.txt
108,108 Abdylaziz Islami.txt,Abdylaziz Islami,,101.34,UTF-8-SIG,.txt
109,109 LuanStarova.txt,Luan Starova,,324.97,UTF-8-SIG,.txt
11,11 Владо Малески - Избор.txt,Владо Малески,Избор,451.65,UTF-8-SIG,.txt
110,110 Resul Shabani.txt,Resul Shabani,,106.22,UTF-8-SIG,.txt
111,111 Xhabir Ahmeti.txt,Xhabir Ahmeti,,93.38,UTF-8-SIG,.txt
112,112Adem Gajtani .txt,Adem Gajtani,,49.78,UTF-8-SIG,.txt
113,113 ALi ALiu.txt,ALi ALiu,,550.0,UTF-8-SIG,.txt
114,114 Agim Vincha .txt,Agim Vincha,,72.79,UTF-8-SIG,.txt
115,115 Egrem Basha.txt,Egrem Basha,,203.97,UTF-8-SIG,.txt
