id,file_number,author,title,genre,word_count,split
1,06а,Лужина Јелена,Македонска битова драма,Драма,18415,train
2,06б,Лужина Јелена,Македонска битова драма,Драма,10034,train
3,06в,Лужина Јелена,Македонска битова драма,Драма,18407,train
4,06г,Лужина Јелена,Македонска битова драма,Драма,23613,train
5,9,Попов Стале,Калеш Анѓа,Проза,50301,train
6,10,Абаџиев Ѓорѓи,Пустина,Проза,35767,test
7,11,Малевски Владо,Она што беше небо,Проза,43159,validation
8,12,Јаневски Славко,Тврдоглави,Проза,85037,train
9,13,Бошковски Јован,Солунските атентатори,Проза,35266,train
10,14,Чашуле Коле,Читано отпосле,Драма,92854,test
11,15,Конески Блаже,Послание,Поезија,39880,train
12,16,Шопов Ацо,Раѓањето на зборот,Поезија,17203,validation
13,17,Јованоски Мето,Будалетинки,Проза,30804,train
14,18,Иваноски Србо,Посегање по чудесното,Поезија,20986,validation
15,19,Матевски Матеја,Прогонети од рајот,Поезија,20306,train
16,20,Тодоровски Гане,Живеј песно!,Поезија,20921,train
17,21,Дракул Симон,Белата долина,Проза,91928,test
18,22,Солев Димитар,Кратката прослет на Моно Самоников,Проза,46778,test
19,23,Попоски Анте,Провиденија,Поезија,20660,train
20,24,Стрезовски Јован,Вода. Зарек,Проза,69685,validation
21,25,Иванов Благоја,Избор,Проза,84563,train
22,26,Ташковски Љубен,Од премудрата тишина,Поезија,18008,train
23,27,Костов Владимир,Свадбата на Мара,Проза,92973,train
24,28,Фотев Методија,Големите скитачи,Проза,78754,train
25,29,Ширилов Петар,Црноборје,Проза,55774,train
26,30,Андреевски Петре,Пиреј; Дениција,Проза,87264,validation
27,31,Котески Јован,Сончева белегија,Поезија,19845,validation
28,32,Варошлија Бранко,Последниот лет на птицата селица,Проза,25383,validation
29,33,Неделковски Миле,Потковица на смртта и надежта,Поезија,84969,train
30,34,Чинго Живко,Пасквелија,Проза,41374,train
31,35,Мицковиќ Слободан,Александар и смртта,Проза,89093,test
32,36,Ѓорѓиевски Ташко,Црвениот коњ,Проза,44109,train
33,37,Бошковски Т. Петар,Некој ме уми,Поезија,21495,train
34,38,Ренџов Михаил,Храм. Молитви,Поезија,10042,test
35,39,Николова Оливера,Вежби за ИБН Пајко,Проза,48527,train
36,40,Павлоски Радован,Заштитна повелба,Поезија,17957,train
37,41,Павлоски Јован,"Само понатаму, во височините",Поезија,18884,train
38,42,Чаповски Иван,Црни соколи - бели меглени,Поезија,24816,train
39,43,Урошевиќ Влада,Непредвидени прошетки,Поезија,61980,train
40,44,Ѓузел Богомил,Оствор на копно,Поезија,32854,train
41,45,Петровски Трајан,Босфорско завештание,Поезија,13658,train
42,46,Гилевски Паскал,Зоја,Проза,63516,validation
43,47,Ширилов Ташко,Тимотеј и Лидија,Проза,34809,train
44,48,Дабески Петко,Поезија,Поезија,3226,train
45,49,Јакимовски Чедо,Не будете ме ноќва,Поезија,10290,test
46,50,Михаилова Гордана,Бесконечното,Поезија,26542,train
47,51,Крстев Христо,Ветришта над Равен,Проза,66832,train
48,52,Старова Луан,Татковите книги,Проза,39777,train
49,53,Јоциќ Светлана,Направи едно чудо,Поезија,16688,train
50,54,Урошевиќ Тања,Аквамарин,Проза,72181,train
