PAPER ID,TITLE,DISCIPLINE,PAPER TYPE,STUDENT LEVEL,SEX,NATIVENESS,TEXTUAL FEATURES
BIO.G1.04.1,The Evolution of Terrestriality: A Look at the Factors that Drove Tetrapods to Move Onto Land,Biology,Argumentative Essay,First Year Graduate,Male,NS,"Tables, graphs or figures,  Literature review section,  Reference to sources"
BIO.G3.03.1,Intracellular Electric Field Sensing using Nano-sized Voltmeters,Biology,Argumentative Essay,Third Year Graduate,Female,NS, 
BIO.G0.11.1,"Exploring the Molecular Responses of Arabidopsis in Hypobaric Environments:
          Identifying Possible Targets for Genetic Engineering",Biology,Proposal,Final Year Undergraduate,Male,NS,"Abstract,  Discussion of results section,  Reference to sources"
BIO.G3.02.1,Linking scales to understand diversity,Biology,Proposal,Third Year Graduate,Female,NS,"Definitions,  Literature review section,  Reference to sources"
BIO.G0.01.1,The Ecology and Epidemiology of Plague,Biology,Report,Final Year Undergraduate,Female,NS,"Literature review section,  Reference to sources"
BIO.G0.02.1,Host-Parasite Interactions: On the Presumed Sympatric Speciation of Vidua,Biology,Report,Final Year Undergraduate,Male,NS,"Tables, graphs or figures,  Reference to sources"
BIO.G0.02.2,Sensory Drive and Speciation,Biology,Report,Final Year Undergraduate,Male,NS,Reference to sources
BIO.G0.02.3,Plant Pollination Systems: Evolutionary Trends in Generalization and Specialization,Biology,Report,Final Year Undergraduate,Male,NS,Reference to sources
BIO.G0.02.4,"Chromosomal Rearrangements, Recombination Suppression, and Speciation: A Review of Rieseberg 2001",Biology,Report,Final Year Undergraduate,Male,NS,Reference to sources
BIO.G0.02.5,On the Origins of Man: Understanding the Last Two Million Years,Biology,Report,Final Year Undergraduate,Male,NS,"Definitions,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.04.1,Fetal Endocrine System,Biology,Report,Final Year Undergraduate,Female,NS,"Abstract,  Reference to sources"
BIO.G0.05.1,Mn (III) TPPS4: A Metallophorphryin Used for Tumor Identification in MRI,Biology,Report,Final Year Undergraduate,Female,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
