PAPER ID,TITLE,DISCIPLINE,PAPER TYPE,STUDENT LEVEL,SEX,NATIVENESS,TEXTUAL FEATURES
BIO.G0.15.1,Invading the Territory of Invasives: The Dangers of Biotic Disturbance,Biology,Argumentative Essay,Final Year Undergraduate,Male,NNS (L1: Chinese),Reference to sources
BIO.G1.01.1,V. Cholerae: First Steps towards a Spatially Explicit Model ,Biology,Proposal,First Year Graduate,Male,NNS (L1: Spanish),"Abstract,  Methodology section,  Reference to sources"
BIO.G1.07.1,Zebrafish and PGC mis-migration,Biology,Proposal,First Year Graduate,Male,NNS (L1: Chinese), 
BIO.G2.06.1,A Conserved Role of Cas-Spg System in Endoderm Specification during Early Vertebrate Development,Biology,Proposal,Second Year Graduate,Female,NNS (L1: Chinese),"Methodology section,  Problem-solution pattern,  Discussion of results section,  Reference to sources"
BIO.G1.08.1,"Boc, sonic hedgehog and commissural axons",Biology,Report,First Year Graduate,Female,NNS (L1: Chinese), 
BIO.G2.05.1,Application of Microarray Analysis in Drosophila,Biology,Report,Second Year Graduate,Male,NNS (L1: Chinese),"Literature review section,  Reference to sources"
BIO.G2.05.2,Assignment: Subcellular Protein Localization,Biology,Report,Second Year Graduate,Male,NNS (L1: Chinese),"Definitions,  Methodology section,  Tables, graphs or figures,  Discussion of results section"
BIO.G1.02.1,Biological Significance of Modular Structures in Protein Networks,Biology,Research Paper,First Year Graduate,Male,NNS (L1: Chinese),"Tables, graphs or figures,  Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
BIO.G2.03.1,"Cholera Seasonality, Rainfall, and Fadeouts: a Geostatistical Approach",Biology,Research Paper,Second Year Graduate,Male,NNS (L1: Spanish),"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G1.08.2,Drosophila neuroblasts,Biology,Response Paper,First Year Graduate,Female,NNS (L1: Chinese), 
CEE.G1.08.1,Electrification of road transportation using ground level power supply,Civil & Environmental Engineering,Critique/Evaluation,First Year Graduate,Male,NNS (L1: Malayalam),"Abstract,  Tables, graphs or figures,  Problem-solution pattern,  Methodology section,  Definitions,  Discussion of results section"
CEE.G1.02.2,Self-Centering Seismic Resistant Systems,Civil & Environmental Engineering,Report,First Year Graduate,Male,NNS (L1: Spanish),"Tables, graphs or figures,  Reference to sources"
CEE.G1.02.3,Seismic Retrofit for Reinforced Concrete Structures: Analysis / Design Techniques,Civil & Environmental Engineering,Report,First Year Graduate,Male,NNS (L1: Spanish),"Abstract,  Discussion of results section,  Reference to sources"
CEE.G1.02.1,Necking and Localization in Plane Stress / Strain,Civil & Environmental Engineering,Research Paper,First Year Graduate,Male,NNS (L1: Spanish),"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
CEE.G3.01.1,A Study on an Interaction of Copper-Binding Compounds Between Methanotrophs,Civil & Environmental Engineering,Research Paper,Third Year Graduate,Male,NNS (L1: Korean),"Methodology section,  Discussion of results section,  Reference to sources"
CEE.G3.02.1,Project: Computation of Deformation,Civil & Environmental Engineering,Research Paper,Third Year Graduate,Male,NNS (L1: Mandarin),"Tables, graphs or figures"
ECO.G0.04.2,Killing Labor with Kindness: The Road to Hell is Paved with Good Intentions,Economics,Critique/Evaluation,Final Year Undergraduate,Male,NNS (L1: Russian),Reference to sources
ECO.G2.06.1,Optimal wage contracting with tax avoidance,Economics,Proposal,Second Year Graduate,Male,NNS (L1: Russian), 
